Pattern: CDLSPINNINGTOP, Explanation: 陀螺 - 表示市場不確定性，具有小實體和較長的上下影線，顯示買賣雙方均無法取得明顯優勢。
Stock: 1101.TW, Signal: 100
Stock: 1102.TW, Signal: -100
Stock: 1103.TW, Signal: -100
Stock: 1203.TW, Signal: 100
Stock: 1217.TW, Signal: 100
Stock: 1303.TW, Signal: -100
Stock: 1316.TW, Signal: -100
Stock: 1402.TW, Signal: 100
Stock: 1444.TW, Signal: 100
Stock: 1514.TW, Signal: -100
Stock: 1527.TW, Signal: -100
Stock: 1541.TW, Signal: 100
Stock: 1587.TW, Signal: 100
Stock: 1615.TW, Signal: 100
Stock: 1617.TW, Signal: 100
Stock: 1710.TW, Signal: -100
Stock: 1717.TW, Signal: 100
Stock: 1718.TW, Signal: -100
Stock: 1806.TW, Signal: -100
Stock: 1809.TW, Signal: -100
Stock: 1903.TW, Signal: -100
Stock: 2017.TW, Signal: 100
Stock: 2028.TW, Signal: 100
Stock: 2030.TW, Signal: 100
Stock: 2049.TW, Signal: 100
Stock: 2101.TW, Signal: -100
Stock: 2201.TW, Signal: 100
Stock: 2208.TW, Signal: 100
Stock: 2231.TW, Signal: 100
Stock: 2302.TW, Signal: 100
Stock: 2312.TW, Signal: -100
Stock: 2316.TW, Signal: -100
Stock: 2317.TW, Signal: 100
Stock: 2328.TW, Signal: -100
Stock: 2332.TW, Signal: 100
Stock: 2337.TW, Signal: 100
Stock: 2380.TW, Signal: -100
Stock: 2382.TW, Signal: 100
Stock: 2388.TW, Signal: 100
Stock: 2409.TW, Signal: 100
Stock: 2425.TW, Signal: -100
Stock: 2427.TW, Signal: -100
Stock: 2450.TW, Signal: 100
Stock: 2459.TW, Signal: -100
Stock: 2461.TW, Signal: -100
Stock: 2501.TW, Signal: -100
Stock: 2504.TW, Signal: -100
Stock: 2505.TW, Signal: 100
Stock: 2506.TW, Signal: -100
Stock: 2511.TW, Signal: 100
Stock: 2515.TW, Signal: -100
Stock: 2516.TW, Signal: -100
Stock: 2520.TW, Signal: 100
Stock: 2606.TW, Signal: 100
Stock: 2614.TW, Signal: 100
Stock: 2617.TW, Signal: 100
Stock: 2852.TW, Signal: 100
Stock: 2880.TW, Signal: -100
Stock: 2883.TW, Signal: -100
Stock: 2906.TW, Signal: -100
Stock: 3035.TW, Signal: 100
Stock: 3047.TW, Signal: 100
Stock: 3050.TW, Signal: 100
Stock: 3051.TW, Signal: -100
Stock: 3055.TW, Signal: -100
Stock: 3209.TW, Signal: 100
Stock: 3296.TW, Signal: 100
Stock: 3311.TW, Signal: 100
Stock: 3321.TW, Signal: 100
Stock: 3346.TW, Signal: 100
Stock: 3481.TW, Signal: 100
Stock: 3494.TW, Signal: -100
Stock: 3593.TW, Signal: 100
Stock: 3607.TW, Signal: 100
Stock: 4148.TW, Signal: -100
Stock: 4155.TW, Signal: 100
Stock: 4190.TW, Signal: 100
Stock: 4306.TW, Signal: 100
Stock: 4555.TW, Signal: 100
Stock: 4736.TW, Signal: 100
Stock: 4934.TW, Signal: 100
Stock: 4989.TW, Signal: 100
Stock: 5244.TW, Signal: 100
Stock: 5284.TW, Signal: 100
Stock: 5292.TW, Signal: -100
Stock: 5388.TW, Signal: 100
Stock: 5534.TW, Signal: -100
Stock: 6005.TW, Signal: -100
Stock: 6112.TW, Signal: -100
Stock: 6133.TW, Signal: 100
Stock: 6136.TW, Signal: 100
Stock: 6168.TW, Signal: 100
Stock: 6197.TW, Signal: -100
Stock: 6464.TW, Signal: 100
Stock: 6541.TW, Signal: -100
