Date,Pattern,Signal
2020-01-16,CDLENGULFING,100
2020-01-17,CDL3OUTSIDE,100
2020-01-30,CDLENGULFING,-100
2020-02-03,CDLHIKKAKE,100
2020-02-05,CDLSHORTLINE,100
2020-02-05,CDLHIKKAKE,-100
2020-02-05,CDLRICKSHAWMAN,100
2020-02-05,CDLDOJI,100
2020-02-05,CDLLONGLEGGEDDOJI,100
2020-02-05,CDLSPINNINGTOP,100
2020-02-05,CDLGRAVESTONEDOJI,100
2020-02-06,CDLSHORTLINE,-100
2020-02-06,CDLDOJI,100
2020-02-06,CDLHAMMER,100
2020-02-06,CDLLONGLEGGEDDOJI,100
2020-02-06,CDLDRAGONFLYDOJI,100
2020-02-07,CDLHAMMER,100
2020-02-07,CDLLONGLEGGEDDOJI,100
2020-02-07,CDLDRAGONFLYDOJI,100
2020-02-07,CDLDOJI,100
2020-02-07,CDLSHORTLINE,100
2020-02-10,CDLSPINNINGTOP,-100
2020-02-10,CDLDOJI,100
2020-02-10,CDLLONGLEGGEDDOJI,100
2020-02-10,CDLHIGHWAVE,-100
2020-02-10,CDLSHORTLINE,-100
2020-02-10,CDLRICKSHAWMAN,100
2020-02-11,CDLSHORTLINE,-100
2020-02-12,CDLSHORTLINE,100
2020-02-13,CDLHIKKAKE,-100
2020-02-14,CDLHIGHWAVE,100
2020-02-14,CDLRICKSHAWMAN,100
2020-02-14,CDLDOJI,100
2020-02-14,CDLLONGLEGGEDDOJI,100
2020-02-14,CDLSPINNINGTOP,100
2020-02-14,CDLSHORTLINE,100
2020-02-17,CDLBELTHOLD,-100
2020-02-17,CDLENGULFING,-100
2020-02-17,CDLHIKKAKE,100
2020-02-18,CDL3OUTSIDE,-100
2020-02-18,CDLLONGLINE,-100
2020-02-19,CDLHIKKAKE,100
2020-02-20,CDLHIKKAKE,200
2020-02-21,CDLMATCHINGLOW,100
2020-02-24,CDLENGULFING,100
2020-02-24,CDLLONGLINE,100
2020-02-24,CDLCLOSINGMARUBOZU,100
2020-02-25,CDLLONGLINE,100
2020-02-26,CDLSHORTLINE,-100
2020-03-02,CDLMARUBOZU,100
2020-03-02,CDLCLOSINGMARUBOZU,100
2020-03-02,CDLLONGLINE,100
2020-03-02,CDLBELTHOLD,100
2020-03-03,CDLSHORTLINE,-100
2020-03-05,CDLBELTHOLD,100
2020-03-05,CDLLONGLINE,100
2020-03-06,CDLHARAMI,-100
2020-03-06,CDLSHORTLINE,-100
2020-03-09,CDL3INSIDE,-100
2020-03-09,CDLHIKKAKE,100
2020-03-09,CDLSPINNINGTOP,-100
2020-03-09,CDLLONGLEGGEDDOJI,100
2020-03-09,CDLDOJI,100
2020-03-09,CDLHIGHWAVE,-100
2020-03-09,CDLRICKSHAWMAN,100
2020-03-12,CDLBELTHOLD,-100
2020-03-13,CDLSHORTLINE,100
2020-03-13,CDLDOJI,100
2020-03-16,CDLHIKKAKE,100
2020-03-16,CDLSPINNINGTOP,100
2020-03-16,CDLHIGHWAVE,100
2020-03-18,CDLSHORTLINE,100
2020-03-18,CDLDOJI,100
2020-03-19,CDLHIKKAKE,100
2020-03-19,CDLBELTHOLD,-100
2020-03-20,CDLTASUKIGAP,-100
2020-03-23,CDLHARAMI,-100
2020-03-24,CDLBELTHOLD,100
2020-03-24,CDLHIKKAKE,-100
2020-03-25,CDLHARAMI,-100
2020-03-25,CDLGRAVESTONEDOJI,100
2020-03-25,CDLHARAMICROSS,-100
2020-03-25,CDLLONGLEGGEDDOJI,100
2020-03-25,CDLDOJI,100
2020-03-26,CDLTAKURI,100
2020-03-26,CDLDRAGONFLYDOJI,100
2020-03-26,CDLHAMMER,100
2020-03-26,CDLSHORTLINE,-100
2020-03-26,CDLLONGLEGGEDDOJI,100
2020-03-26,CDLDOJI,100
2020-03-27,CDLBELTHOLD,100
2020-03-27,CDLSEPARATINGLINES,100
2020-03-30,CDLDOJI,100
2020-03-30,CDLSHORTLINE,100
2020-03-31,CDLDOJI,100
2020-03-31,CDLSHORTLINE,100
2020-04-01,CDLSHORTLINE,100
2020-04-01,CDLDOJI,100
2020-04-06,CDLDOJI,100
2020-04-06,CDLTAKURI,100
2020-04-06,CDLHAMMER,100
2020-04-06,CDLLONGLEGGEDDOJI,100
2020-04-06,CDLDRAGONFLYDOJI,100
2020-04-07,CDLCLOSINGMARUBOZU,100
2020-04-07,CDLMARUBOZU,100
2020-04-07,CDLLONGLINE,100
2020-04-07,CDLBELTHOLD,100
2020-04-08,CDLBELTHOLD,100
2020-04-09,CDLSHORTLINE,100
2020-04-09,CDLADVANCEBLOCK,-100
2020-04-10,CDLHIKKAKE,-100
2020-04-10,CDLBELTHOLD,100
2020-04-13,CDLSPINNINGTOP,-100
2020-04-13,CDLHIGHWAVE,-100
2020-04-14,CDLENGULFING,100
2020-04-15,CDL3OUTSIDE,100
2020-04-16,CDLHANGINGMAN,-100
2020-04-17,CDLBELTHOLD,100
2020-04-20,CDLLONGLINE,-100
2020-04-20,CDLCLOSINGMARUBOZU,-100
2020-04-20,CDLMARUBOZU,-100
2020-04-20,CDLBELTHOLD,-100
2020-04-21,CDLBELTHOLD,-100
2020-04-22,CDLBELTHOLD,-100
2020-04-22,CDLLONGLINE,-100
2020-04-23,CDLSHORTLINE,100
2020-04-23,CDLDOJI,100
2020-04-24,CDLDOJI,100
2020-04-24,CDLSHORTLINE,100
2020-04-27,CDLSHORTLINE,100
2020-04-27,CDLDOJI,100
2020-04-28,CDLDOJI,100
2020-04-28,CDLSHORTLINE,100
2020-04-29,CDLSHORTLINE,100
2020-04-29,CDLDOJI,100
2020-04-30,CDLDOJI,100
2020-04-30,CDLSHORTLINE,100
2020-05-04,CDLDOJI,100
2020-05-04,CDLSHORTLINE,100
2020-05-05,CDLSHORTLINE,100
2020-05-05,CDLDOJI,100
2020-05-06,CDLDOJI,100
2020-05-06,CDLSHORTLINE,100
2020-05-07,CDLSHORTLINE,100
2020-05-07,CDLDOJI,100
2020-05-08,CDLDOJI,100
2020-05-11,CDLDOJI,100
2020-05-12,CDLDOJI,100
2020-05-13,CDLDOJI,100
2020-05-14,CDLDOJI,100
2020-05-15,CDLDOJI,100
2020-05-18,CDLDOJI,100
2020-05-19,CDLDOJI,100
2020-05-20,CDLDOJI,100
2020-05-21,CDLDOJI,100
2020-05-22,CDLDOJI,100
2020-05-25,CDLDOJI,100
2020-05-26,CDLDOJI,100
2020-05-27,CDLDOJI,100
2020-05-28,CDLDOJI,100
2020-05-29,CDLDOJI,100
2020-06-01,CDLDOJI,100
2020-06-02,CDLDOJI,100
2020-06-03,CDLDOJI,100
2020-06-04,CDLDOJI,100
2020-06-05,CDLDOJI,100
2020-06-08,CDLDOJI,100
2020-06-09,CDLDOJI,100
2020-06-10,CDLDOJI,100
2020-06-11,CDLDOJI,100
2020-06-12,CDLDOJI,100
2020-06-15,CDLDOJI,100
2020-06-16,CDLDOJI,100
2020-06-17,CDLDOJI,100
2020-06-18,CDLDOJI,100
2020-06-19,CDLDOJI,100
2020-06-22,CDLDOJI,100
2020-06-23,CDLDOJI,100
2020-06-24,CDLDOJI,100
2020-06-29,CDLDOJI,100
2020-06-30,CDLDOJI,100
2020-07-01,CDLDOJI,100
2020-07-02,CDLDOJI,100
2020-07-03,CDLDOJI,100
2020-07-06,CDLDOJI,100
2020-07-07,CDLDOJI,100
2020-07-08,CDLDOJI,100
2020-07-09,CDLDOJI,100
2020-07-10,CDLDOJI,100
2020-07-13,CDLDOJI,100
2020-07-14,CDLDOJI,100
2020-07-15,CDLDOJI,100
2020-07-16,CDLDOJI,100
2020-07-17,CDLDOJI,100
2020-07-20,CDLDOJI,100
2020-07-21,CDLDOJI,100
2020-07-22,CDLDOJI,100
2020-07-23,CDLDOJI,100
